address,Trading Volume Leaderboard,Trading volume Raffle,P$L Leaderboard,Realized profit,tokenAmount,tokenName
0xbef817fab9ffbbc31662c470d406c44f0456823a,800 ,0,0,0,800 ,ENA
0xa503915033f0b979d72312a6463162eaf22f21b9,800 ,0,0,0,800 ,ENA
0x1ae19f33d891400f929a86fb3fb94362f49acf0a,800 ,0,0,0,800 ,ENA
0xd8fb419047af411533226e6d3697bbcfc3cdeb4a,800 ,0,0,0,800 ,ENA
0x9c286f62954a5d78d5cbafd0146e7c66c090b8be,800 ,0,0,0,800 ,ENA
0x155c1f0f3226a91747e7d4ced7a6973b354810ab,800 ,0,0,0,800 ,ENA
0xa9d4bd6dad54076b1a4d8a7956131f44623ea64b,800 ,0,0,0,800 ,ENA
0x8e9458dafddeba112df084100006c8f3bbeff020,800 ,0,0,0,800 ,ENA
0x8ba12bc9c84df657c00066da46d3eb0501f4b425,800 ,0,0,0,800 ,ENA
0xd7b45b0ff940ec42b246d0868f49cfdc2589ce73,800 ,0,0,0,800 ,ENA
0x98e3057cc2d7558e0cb8608b986da30e831c4fdf,800 ,0,0,0,800 ,ENA
0x0fd2fe21c96cd4bf2a3223faefa1ac7e45e24db4,800 ,0,0,0,800 ,ENA
0x01f52755d833d6e603c94e4ba6fcfd10e0746145,800 ,0,0,0,800 ,ENA
0x605504ca3e0fdd61b4d63dec6d2e92d51693da8a,800 ,0,0,0,800 ,ENA
0x0882f33e42db1a3cdea2a5dc9e30020df8a99576,800 ,0,0,0,800 ,ENA
0x55cb422bf6451605684f3c9fed69a5335de54927,800 ,0,0,0,800 ,ENA
0xa7937ceddd812cbc633849a9b5fd200a1c535c80,800 ,0,0,0,800 ,ENA
0x18d9c7b5aad1e5b1dcf92b383e90f4743964e662,800 ,0,0,0,800 ,ENA
0x22067a47af4a635550d96a9cca17dc13519f8f4a,800 ,0,0,0,800 ,ENA
0xf6f83f3ed29ac86b394fb75439a25d988ef613c1,800 ,0,0,0,800 ,ENA
0x7d1a9f1e3afda81f76434ab624be3ace4da4ad15,800 ,0,0,0,800 ,ENA
0x010d304c1e8192b9805613a16d0152489ddf5466,800 ,0,0,0,800 ,ENA
0x7e852896312024c49d8fd0278d792723c9eb3be3,800 ,0,0,0,800 ,ENA
0x66b926db183f06097e91c53ead86733e8521af79,800 ,0,0,0,800 ,ENA
0xb9a6c1c5fdc74f9a4076110bff09bb8beb62e7a0,800 ,0,0,0,800 ,ENA
0xb02905f817595ccae40d930e60bee73370e6f0a3,800 ,0,0,0,800 ,ENA
0x31a48708928a91b9e24fe09d226bfb76a6a78b6e,800 ,0,0,0,800 ,ENA
0x6da2f99ef389b36ce97517a4250e1b408ccca888,800 ,0,0,0,800 ,ENA
0x55bc9540ee6db919400d715f287436bb368ef53e,800 ,0,0,0,800 ,ENA
0x786c4c71412f73ed7c30df10f316486bb50e531e,800 ,0,0,0,800 ,ENA
0x0179241796d51b0a7d2fed5e8dba1e55001199d8,800 ,0,0,0,800 ,ENA
0x82918241485353ac34c13f4d08d74dab4958dd82,800 ,0,0,0,800 ,ENA
0x14a5b8cc27f6f9de2646fbb7c348ff7ce120293d,800 ,0,0,0,800 ,ENA
0x957781241d9526eb7c8673a2b0eb01aaea441bde,800 ,0,0,0,800 ,ENA
0xb5c65c871759e0f3ea3076d7712629bb4158ad91,800 ,0,0,0,800 ,ENA
0xb8b86ef489ea56c494b9f5d1ed61e63a9cbef492,800 ,0,0,0,800 ,ENA
0x36e344a91e6c06cd0d6a64cc24f6d382762d6fc0,800 ,0,0,0,800 ,ENA
0xfae4783bbc888bb7e50eb8e2aa23c8faad34ee08,800 ,0,0,0,800 ,ENA
0xa0f44f65687d5663ccfbccb727625ec29c795138,800 ,0,0,0,800 ,ENA
0x0d970f97385508e2c0b08d29b714262849588655,800 ,0,0,0,800 ,ENA
0xd8f804a0bbeadd5208e635cefbadc66cbe68acc4,800 ,0,0,0,800 ,ENA
0xd9a3fcd42b2eb375bf7614acfc8ff1f809c03ac9,800 ,0,0,0,800 ,ENA
0x4c8e47ac688a54b1a6bf3e237d48c98ea2ae9c84,800 ,0,0,0,800 ,ENA
0x5e3ccc754d20665a0cd6463fcaa20836ac30c88e,800 ,0,0,0,800 ,ENA
0xc9d193097c6d50cdd32f392a851de94a2d7b2a93,800 ,0,0,0,800 ,ENA
